sentence_index	sentence
53	- Ilu ich jest ? - Nie wiem , Vittorio . Znasz moje imię ?
54	Umrzesz dzielnie w milczeniu albo będziesz zawodził jak kobieta rodząca czwarte dziecko i wykrzyczysz nam gdzie jest kawaleria .
55	Wiesz jak wychowywać Małego Wojownika .... ... aby był godnym synem kogoś , kto nazywa się Vittorio .
56	Czuwaj jak jastrząb , bądź cierpliwy jak bóbr odważny jak puma , żeby tego dobrze się nauczył .
57	- Czy dał ci to Ed ? - Wziąłem to z jego ciała .
58	Kiedy Johnny dorośnie i dowie się o tym będzie z tego dumny .
59	- I nie jest to łatwe . - Więc nie mów teraz .
60	Kiedy byłam dzieckiem , moja matka zwykła mówić , że jest jak huśtawka .
61	Indianie nie sadzą kukurydzy , dopóki księżyc nie jest taki jak ten .
62	Lepiej powiedz dzielnemu towarzyszowi na drugim brzegu , żeby lepiej nie wchodził do wody .
63	Przypuszczam , że nie powinnam tego mówić tak wcześnie po śmierci mego męża .
64	Zdaje mi się , że czuję to w takim sam sposób ale czasem człowiek kłamie jeśli to pomoże drugiemu .
65	Oczywiście , Vittorio i jego banda renegatów przypadkowo nie znaleźli tej ukrytej doliny .
66	W dolinie zginęło około 100 osadników oskalpowanych przez tego tchórzliwego kryminalistę .
67	Ale jeśli jest tchórzem to tego jeszcze nie okazał . - Amen , bracia .
68	- Nie mogę sie zgodzić z panem Lane . On ucieka przed nami przez 200 mil .
69	Indianie swoim dzieciom opowiadają historię o myśliwym , który ścigał dzikiego kota , aż go złapał .
70	Ale potem było na odwrót . Ta historia jest znacznie starsza niż Indianie .
71	Żołnierz schwytał Tatara i krzyczy . Oficer odkrzyknął , żeby przyszedł ze swoim więźniem .
72	To była ulubiona historyjka pułkownika Mays który uczy taktyki kawalerii w West Point .
73	Podchodzi do mnie facet i daje mi 2 dolary , abym głosował na Taylora .
74	Pani Lowe , panie Lane , mam rozkaz przeczesać wszystko aż do Dwóch Pagórków .
75	Do Dwóch Pagórków pojedziemy jutro i powrócimy jutro wieczorem , aby odeskortować panią i syna w bezpieczne miejsce .
76	- Jak długo jesteście na tym patrolu ? - To jest dwudziesty dzień .
77	Musisz mieć jakieś nazwisko . Cóż , mam nazwisko , jak myślisz , kim jestem ?
78	Właśnie tak , Buffalo Baker . A więc może pan zjeść z nami , panie Baker i umyć się .
79	W Kalifornii . Zastrzeliłem jelenia tuż przed twoim domem , na takim jak ten pagórku .
80	Za każdym razem , kiedy myję twarz myślę o tobie i tym wieczorze w Seddon , kiedy mi przyłożyłeś .
81	Złamałeś mi ząb i zaczęło tak boleć , że musiałem pójść do cyrulika , aby usunął to co zostało .
82	Zawsze chciałem mieć nowy model . Trzymaj ręce z daleka od tego .
83	Znam go 10 lat i nigdy mi nie powiedział przyjaznego słowa .
84	Ale wyobrażam sobie , jaką radość sprawi ci , gdy mi dasz ten karabin .
85	Kilka z nich należało do kasztanka , na którym jeździłeś . Ten co zgubił podkowę .
86	Albo mógłbym dostać tego nowego Winchestera odkąd on z zasadzki zaatakował męża tej pani .
87	Gdyby ona o tym wiedziała , sądzę , że chyba nie patrzałaby na niego jakby był wielkim zarozumialcem wszystkich plemion stąd do Salt Water .
88	Nie mamy czasu do stracenia , więc byłbym zobowiązany , gdyby osiodłał pan konia .
89	Jest tylko jedna rodzina między tym miejscem a Dwoma Pagórkami i jest już zbyt późno , by im coś pomóc .
90	- Nie miałem innego wyboru . - On chciał się mnie pozbyć ... - Mogłam się tego spodziewać .
91	Powinnam wiedzieć , że mnie okłamałeś , mówiąc tak , bym o nim dobrze myślała .
92	On nie był typem człowieka , który umiera z honorem . Przykro mi teraz , że tak go nienawidziłam .
93	Jednej nocy , jak zasnęłaś przypełzał do mojego łóżka i objął mnie za szyję .
94	To co chciałem ci powiedzieć , to gdy stałem obrócony plecami , człowiek chciał do mnie strzelić .
95	Nie , to był biały człowiek , Johnny , ale ja nie miałem innego wyboru . On ...
96	Mówiłem ci , naciśnij ramię do dołu i wtedy nie skaleczysz się .
97	To jest jej prawda . Jeśli on jest byle co , to także jej prawda .
98	Ożenił się ze mną tylko , by dostać to ranczo , a potem opuścił Johnniego i mnie .
99	A potem przychodzisz ty , jesteś dobry i szlachetny wszystko na co Ed nie miał żadnej nadzieji by takim być .
100	Kiedy ich wódz zostaje zabity to oznacza , że ich czary są za słabe .
101	Dziękuję , pani Lowe , będę dozgonnie zobowiązany , jeśli najpierw zaopatrzy pani moich ludzi . Nie .
102	Część się uczy , a część ginie . Ja to mam za sobą , tak jak ty .
103	- Wydobędziemy się z kłopotów jeśli ruszymy . - Czy mogę powozić ?
104	Powiedziałam jej , że ide z Cecile do Teatru , a ona ... popatrzyła na mnie z niedowierzaniem .
105	Tak na pewno i zaczynam się jąkać , ... czerwienię się ... i szybko zmieniam temat .
106	Jeżeli matka nie będzie spać , to będzie robić mi wymówki .
107	Ty będziesz cały dzień pachnieć naftą . Jaka jestem szczęśliwa .
108	Ależ nie , ty nie jesteś brzydka . Ty jesteś najpiękniejsza z wszystkich
109	Jesteś jeszcze małą dziewczynką , bardzo małą . Nie znasz życia .
110	Jak mam je znać , jeżeli nigdy mi nic nie opowiadałaś !
111	Przepraszam , gdzie jest sklep z farbami ? Zaraz obok . Ile on ma lat ?
112	On mieszka ze swoją chrzestną , która dała mu dach nad głową ..
113	Ma tylko mnie i ... zobaczysz jaki to piękny człowiek. , jest bardzo przystojny .
114	Ale , moja mała dziewczynko , ślub w ogóle nie wchodzi w rachubę .
115	Z dziećmi będziemy mieli czas , ale jedno będziemy chcieli mieć szybko .
116	Sprzedaj swoją biżuterię . Moje klejnoty , nigdy ! Po co ci one ?
117	W każdym razie , to prawdopodobnie nie jest prawdziwe . Nie jest w końcu taka ładna ..
118	Wahałam się długi czas , i Geneviéve , swoją mądrością przekonała mnie ... przełamała moje serce doradziła mi abym ... ten klejnot , który dla mnie przedstawia ...
119	Rozumiem , droga Pani , ale mój interes niesie z sobą wiele niewiadomych ..
120	i ja ponoszę duże ryzyko ... w najlepszym wypadku , mogę przyjąć pani klejnot w komis , jednak za dużo mniejszą cenę niż jego wartość .
121	Łatwo sprzedam ten naszyjnik w Paryżu lub Londynie , gdzie prowadzę swoje interesy ...
122	Proszę przyjść do nas jutro do mojego sklepu , który nazywa się ,
123	Co jest z tobą ? Nic mamo . - To się uspokój .
124	Pan Cassard zaraz tutaj będzie i chciałabym ... byś była obecna podczas naszej rozmowy .
125	Dlatego , że ... jeżeli jest on rzeczywiście oszustem , powinnyśmy być razem .
126	Martwię się gdyż już nie wiem co mam robić z powodu dużych długów .
127	Nie mogę zapewnić jej żadnej odmiany ... z powodu nudy popada w depresję .
128	Niestety , muszę jeszcze dziś wieczorem wrócić ... do Paryża , a jutro lecę do Londynu .
129	Proszę pozdrowić ode mnie Genevieve i ... obiecuję , że was odwiedzę ,
130	Teraz śmieję się z siebie , ponieważ rozumiem ... jaka głupia jestem , kiedy jestem sama .
131	Oczywiście , powiedziała mi , że zwariowałam . i zabroniła mi dziś wieczór spotkać się z tobą .
132	Wolałabym uciec z tobą i zostawić mamę , niż utracić ciebie .
133	Mamy na ślub dużo czasu . Dzisiaj rano , dostałem kartę powołania do wojska .
134	ślub , musimy odłożyć na pózniej ... w Algerii jest wojna , i minie dużo czasu zanim wrócę .
135	Ukryję ciebie ... i będę mieć tylko dla siebie , mój kochany nie opuszczaj mnie .
136	Kochana , muszę jechać i ... pamiętaj , że myślami zawsze będę przy tobie .
137	Też byłam zakochana i miałam rozterki ... mam doświadczenie i powinnaś mnie słuchać .
138	Jeżeli on wróci i ty będzieszgo jeszcze go kochała to zobaczymy co dalej .
139	Zmartwił się , że nie ma ciebie . Na pewno mógłby dać tobie jakąś dobrą radę .
140	Zanim odjedziesz chciałabym ci powiedzieć , że wszystko co mam zapisuję tobie !
141	Ach , Geneviéve , jeśli w sklepie będzie szło lepiej , będę bardzo szczęśliwa .
142	Robić to co się umie i być znaną przez wszystkich w mieście .
143	To nie zmęczenie ale od dwóch miesięcy nie mam wiadomości od Guya .
144	Na pewno wysłano go w jakieś niebezpieczne miejsce ... gdzie ryzykuje życiem .
145	co ty wygadujesz Zapomniał o tobie i dlatego do ciebie nie pisze ...
146	W ciąży z Guyem ? Jak to się mogło stać ?
147	Ty wyglądasz ... ... jak w ciąży . Nie musisz mu o tym opowiadać .
148	Położenie , w którym chwilowo się znajdujemy , nie pozwala ... na urlop .
149	Geneviéve nie chce wyjechać sama , a ja nie mogę zamknąć sklepu .
150	Bardzo się martwię , ponieważ Genevieve jest smutna , ma problemy szczególne , wręcz intymne ...
151	Nie chcę być śmieszny i ... nie wiem , czy pani wie coś o moich uczuciach , jednak ... nie chcę zrobić niczego co mogłoby zabrzmieć fałszywie wobec mi bliskich .
152	Od dawna chciałem z panią o czymś porozmawiać , o czymś co mnie bardzo frapuje .
153	Odmówiono mi urlopu ... i nie wiem kiedy będę mógł ... przyjechać do Francji .
154	Drogi panie Cassard mama i ja cieszymy się bardzo z nadesłanej kartki ...
155	W ostatnim liście , pisał ... że jest smutny , ponieważ nie widział mnie w ciąży .
156	Gdy patrzę na tę fotografię , to tak jakby on był przy mnie ...
157	I kiedy o nim pomyślę , to mam tę fotografię przed oczami .
158	Twoja miłość do Guya była dla ciebie idealistyczna ... ale jaką przyszłość może on tobie zaofiarować ?
159	Wiesz , mnie również , zawrócił w głowie , pewien młody mężczyzna , który nie był twoim ojcem .
160	Uważasz , że Cassard dalej będzie chciał mnie poślubić , kiedy się dowie , że jestem brzuchata ?
161	Ani ty , ani ja nie miałyśmy odwagi , aby mu powiedzieć prawdę .
162	Myślałem , że jest na mnie zła , ale nie wiedziałem za co ?
163	Wtedy sprzedała swój sklep . Sądzę , że mieszkają teraz w Paryżu .
164	Od czasu jak wrócił z wojska ... zachowuje sie jak łobuz !
165	Ja nie mam wygórowanych ambicji , ale ... chciałbym aby ziścił się sen abym mógł być szczęśliwy z kobietą ... którą wybrałem .
166	synek chciałby oglądać zabawki w witrynach sklepowych ... opowiadał mi o tym przez cały tydzień .
167	Jestem tu pierwszy raz od wyjazdu z Cherbourga , od kiedy wyszłam za mąż .
168	W drodze powrotnej do Paryża , zdecydowałem się zrobić objazd ...
169	Wiele dziwnych legend opowiada się o tych dżunglach w Indiach ... Ale żadna nie jest tak dziwna jak historia o małym chłopcu nazywanym Mowgli .
170	Musiałem zdecydować jak bardzo się angażować ... Mogłem posłuchać pierwszego impulsu i odejść .
171	Wtedy przyszło mi coś do głowy . Rodzina wilków , którą znałem miała miot młodych .
172	Wiedziałem , że nie będzie problemu z matką dzięki jej macierzyńskiemu instynktowi , ale
173	A ja często zatrzymywałem się , aby zobaczyć jak Mowgliemu ludzkiemu młodemu się wiedzie .
174	Wtedy pewnej nocy grupa starszych wilków zwołała naradę ... Ponieważ Shere Khan tygrys ...
175	Shere Khan z pewnością zabiłby chłopca i wszystkich , którzy próbowaliby go chronić .
176	Jak mój własny syn . Z pewnością ma prawo do ochrony przez stado .
177	Ale , Rama , nawet siła całego stada nic nie znaczy dla tygrysa .
178	Mowgli i ja wędrowaliśmy razem po dżungli , tak , więc jestem pewien , że pójdzie ze mną .
179	Chcę żebyś trzymał gardę w przeciwnym razie znowu trafię cię w szczękę .
180	Stare ruiny . Nie chcę myśleć , co może się stać , kiedy spotka króla małp .
181	Może się nauczyć być podobnym do ciebie - I jeszcze raz !
182	Zdaje się , że Mowgli ma ludzką słabość do wpadania w kłopoty .
183	Wiesz , to nie jest łatwe nauczyć się być podobnym do mnie .
184	Wiesz o tym . Ponieważ on obawia się ludzkiej broni i ludzkiego ognia .
185	Dostanie Mowgliego dopóki jest młody i bezbronny . Wystarczy jedno machnięcie ...
186	Więc myśl o tym , co najlepsze dla Mowgliego nie dla ciebie .
187	Mowgli , nie zdajesz sobie sprawy , że jesteś człowiekiem ? Już nie jestem , Baloo .
188	Nie dziwię ci się . Nie jestem taką za jaką mnie uważają ...
189	Chciałbym zamienić z tobą słówko , Jeśli nie masz nic przeciwko . Shere Khan .
190	Nic nie szkodzi Znam twoją gościnność , kogo masz aktualnie w swoim uścisku .
191	Niech no ja cię tylko jeszcze spotkam ty mała chuda krewetko ...
192	Potem ja powiem , `` Co będziemy robić ? '' Ty powiesz , `` Co chcesz robić ? ''
193	Co za strasznie wyglądająca kupa kości . I wszyskie razem wędrując trzymają się razem .
194	I żeby ci to udowodnić , pozwalamy ci przyłączyć się do naszej małej grupy .
195	Powinieneś był widzieć jak zrobiłem frajera ze starego tygrysa trafiając go lewym .
196	- Tak jest Nic i nikt już nigdy więcej nie stanie między nami .
197	`` Jedyny wśród bożych stworzeń , który zabija dla zabawy , żądzy lub chciwości '' .
198	`` Nie pozwólcie mu rozmnażać się bez umiaru jako że on doprowadzi swój i wasz dom do ruiny '' .
199	Całe życie czekałem na twoje przyjście i bałem się tego jak samej śmierci .
200	Cóż , według mnie , kapitanie przedarliśmy się przez Krzywą Hassleina , zagięcie w czasie .
201	Nie wiem , co to za planeta , ale fakt faktem , że tu jesteśmy oddychamy , jesteśmy przytomni , mamy wystarczająco dużo tlenu , wody ...
202	Nie mówię , że wszyscy ludzie są źli tylko dlatego , że ich skóra jest biała .
203	Ale nasz wielki Prawodawca mówi nam że ludzie nigdy nie posiądą boskiej zdolności małp pozwalającej rozróżniać między dobrem a złem .
204	Ale szczęściarze , którzy pozostali przy życiu dostąpią przywileju oddania się w ręce naszego czcigodnego ministra nauki dobrego doktora Zaiusa .
205	Tak jak i przyszłość nauki w obliczu tego podżegacza , dążącego do bezsensownej wojskowej przygody .
206	Ale jeżeli to istoty żywe , a tak jest , to muszą jeść .
207	Jest naszym świętym obowiązkiem postawienie na nich naszych stóp wkroczenie tam i naznaczenie ich naszą bronią , kołami wozów i flagami .
208	Cóż , generale , mam tylko nadzieję , że wie pan , co pan robi .
209	Słyszał pan o raportach , które otrzymaliśmy na temat dziwnych zajść w Zakazanej Strefie .
210	Zajść , których , jeśli wolno mi dodać nie był pan , jako minister nauki , w stanie zgłębić .
211	Dwunasty powrócił z niesamowitymi historyjkami o wielkich ścianach ognia dziwnych , gwałtownych trzęsieniach ziemi .
212	Stracił rozum , zapewne na skutek tortur z rąk gatunków innych niż małpy .
213	Gdybym miała właściwe poczucie naukowego celu , Korneliuszu nie cięłabym na kawałki zdrowych głów ludzkich .
214	Robiłabym sekcje chorych mózgów goryli , aby sprawdzić , jak do tego doszło .
215	Wiesz , moja droga , problem z nami intelektualistami polega na tym , że mamy obowiązki , a żadnej władzy .
216	Całe swoje życie poświęciłam naukowemu badaniu ludzi i spotkałam tylko jednego człowieka , który umiał mówić .
217	Gdyby nie Zira , wciąż by tu był jako wypchany eksponat w wielkim holu Muzeum Zaiusa , razem z dwoma kolegami .
218	- Nie dziwię mu się . - Nie mam do niego żalu .
219	Czy jesteście ślepi , państwo psychologowie iż nie dostrzegacie , że stoimy u progu wielkiego kryzysu ?
220	Zachowanie milczenia , kiedy temu tyranowi Ursusowi pozwala się na niszczenie wszystkiego wkoło , nie jest dłużej możliwe .
221	Jako minister nauki mam obowiązek zbadać czy istnieją jakieś inne formy życia .
222	- To ignorancja jest zła . - Na poznanie prawdy przyjdzie czas .
223	Proszę was o porzucenie waszych osobistych przekonań w godzinie publicznego zagrożenia .
224	Jeżeli nie powrócę z nieznanych krain ocalenie lub zniszczenie całej naszej cywilizacji będzie zależało od was .
225	Jak usłyszą , że mówisz , pokroją cię i zabiją , w tej kolejności .
226	O Boże , prosimy Cię , pobłogosław naszej wielkiej armii i jej naczelnemu wodzowi w przeddzień świętej wojny podjętej przez wzgląd na Ciebie .
227	I spraw , w imię swego proroka , naszego wielkiego Prawodawcy abyśmy my , Twoi wybrani słudzy stworzeni i zrodzeni na Twe boskie podobieństwo mogli aspirować tym bardziej do twej duchowej boskości i piękna cielesnego których Ty , w swej nieskończonej łasce odmówiłeś naszym bydlęcym wrogom .
228	Czy to tacy właśnie byliśmy zanim nauczyliśmy się mówić i pogmatwaliśmy wszystko ?
229	Czy z gadaniny przy tych wszystkich stołach wyszło kiedyś coś dobrego ?
230	Jesteśmy z tej planety , ale z innego czasu 2000 lat temu .
231	Zaapeluję jeszcze raz do pańskiego rozsądku , zanim dozna pan więcej bólu .
232	- Wybaczę panu te słowa . W tym momencie , pański zdrowy rozsądek chce pana opuścić .
233	Albo ich czaszki były zbyt grube , albo naprawdę niczego nie wiedzieli .
234	Amen Amen Niebiosa oznajmiają świetność Bomby , a firmament pokazuje Jej dzieło .
235	Jej głos rozległ się po wszystkich krainach a Jej światło dotarło na krańce świata .
236	Chwała niech będzie Bombie i Świętemu Upadkowi jak było na początku , teraz i na wieki wieków , świat bez końca , amen .
237	O potężna i wieczna Bombo , która zstąpiłaś pomiędzy nas aby stworzyć raj pod ziemią , rozjaśnij naszą ciemność .
238	Niech błogosławieństwo Wszechmocnej Bomby i zdarzenie Świętego Upadku zstąpi na nas wszystkich i pozostanie z nami na zawsze .
239	Ufam , że ta skromna ceremonia przekonała pana o naszych pokojowych zamiarach .
240	Nie było żadnych numerów . Tylko ... Tylko jakieś litery na jednym ze stateczników .
241	Jeżeli ją wystrzelą na małpy może to spowodować reakcję łańcuchową w całej atmosferze .
242	Tę broń zbudował człowiek . Nie uda ci się jej zniszczyć serią naboi .
243	W jednej z miliardów galaktyk we wszechświecie znajduje się średniej wielkości gwiazda .
244	A jeden z jej satelitów zielona i niepokaźna planeta jest teraz martwa .
245	- Jako jedyna w historii cyrku została przeszkolona w jeździe na oklep .
246	Dziecię dwóch mówiących małp , Korneliusza i Ziry którzy przybyli do nas z przyszłości wiele lat temu i zostali zamordowani z obawy , że pewnego dnia małpy zdominują rasę ludzką .
247	Sam fakt twojego istnienia , zostałby uznany za wielkie zagrożenie dla ludzkości .
248	Ludzie szukali małych zwierząt domowych które zastąpiłyby im te , które stracili .
249	Kiedy ludzie spostrzegli , jak szybko się uczą i jak łatwo je wytresować przyjmowali do swych domów coraz większe małpy .
250	Demonstracja pracowników na South Plaza ma się zakończyć za 10 minut .
251	Powtarzam : demonstracja na South Plaza ma się zakończyć za 10 minut .
252	To śmieszne . Nie smakują mi już tak , odkąd wiem , że mnie nie zabiją .
253	- Och , czy byłaby pani tak dobra i wywiesiła parę tych ogłoszeń w oknie ?
254	Demonstracja pracowników na South Plaza ma się zakończyć za pięć minut .
255	Nieprzestrzeganie tego nakazu może doprowadzić do zawieszenia prawa do zbiorowego negocjowania na okres jednego roku .
256	Małpy importowane z zagranicy są nagie , więc musisz się pozbyć tych ubrań .
257	Nieludzkie sukinsyny . Na Św. Franciszka , miłośnika zwierząt , to miałem na myśli .
258	- Odkąd na Ziemię przybyły mówiące małpy i spłodziły potomka , który mógłby zagrozić przyszłości rasy ludzkiej .
259	Panie zarządco , z tego , co wiem , małpiątko i jego rodzice zostali zastrzeleni .
260	To są rekomendacje przedstawione prezydentowi Stanów Zjednoczonych przez przewodniczącego Komisji Prezydenckiej .
261	Wydaje nam się , że mówiące małpy , Korneliusz i Zira przybyły do nas z przyszłości .
262	Wierzymy ich słownym zeznaniom , że za jakieś 2000 lat ich potomkowie zmiotą rasę ludzką z powierzchni Ziemi .
263	Komisja zdecydowała że nie można dopuścić do narodzin ich potomka a po usunięciu płodu zarówno samiec jak i samica powinny przejść sterylizację .
264	Ale każde publiczne i prywatne zoo zostało przeszukane przez policję cyrki też , włącznie z moim .
265	Zgłosiłem jego narodziny miesiąc miesiąc przed pojawieniem się na Ziemi mówiących małp .
266	Więc zapewne nic pan nie wie o rosnącej fali niezadowolenia o otwartej buntowniczości małp w naszych miastach .
267	Albo czekają . Na małpę z inteligencją i siłą woli godną przywódcy .
268	Seńor Armando ... czy pańska małpa mówiła lub wykazywała tego oznaki w pańskiej obecności ?
269	Transport nr . 507 z Indonezji , byłego Borneo gotowy do rozładunku przy bramie nr . 2 .
270	Transport nr 509 z Afryki , z byłego francuskiego Kamerunu stoi przy bramie numer 4 .
271	Po pobraniu odcisków palców , transport 507 z Indonezji , byłego Borneo należy skierować bezpośrednio do klatki adaptacyjnej nr 90 .
272	Po pobraniu odcisków palców , transport 507 z Indonezji , byłego Borneo należy skierować bezpośrednio do klatki adaptacyjnej nr . 90 .
273	Przypominamy personelowi imigracyjnemu , że od dzisiaj policja wymaga dodatkowej kopii odcisków palców wszystkich szympansów .
274	Powtarzam : przypominamy personelowi imigracyjnemu , że od dzisiaj policja wymaga dodatkowej kopii odcisków palców wszystkich szympansów .
275	Proszę wybrać czterech okazałych samców i przysłać ich natychmiast do skrzydła rozrodu .
276	Więc należysz do partii Brecka . To tak zdobyłeś te duże kontrakty .
277	Pod obserwacją wydawał się być tak obeznany , posłuszny , potulny i inteligentny , że przysposobienie nie wydawało się konieczne .
278	Bardzo dobrze , Morgan , zmień tylko ostatni paragraf . Gdzie jest ten profil ilorazu inteligencji ?
279	Oto profil ilorazu inteligencji małp z tego miesiąca . Ponad 3-punktowy wzrost .
280	Wychodzi na to , że nasz mały nie jest aż tak inteligentny .
281	W taki czy inny sposób , każdy z nas był kiedyś niewolnikiem .
282	Gdybyśmy tak chcieli odsyłać na przysposobienie kaźdą nieposłuszną małpę , Biuro Zarządzania Małpami pękałoby w szwach .
283	Niektóre z nich już gorsze być nie mogą . Zleciłem stworzenie listy .
284	Wskrzeszę więc piękną tradycję ustanowioną za życia mojej żony i pozwolę ci wybrać własne imię .
285	Że małpa cyrkowa nie potrafi mówić , i z tego , co pan wie , nigdy nie powiedziała ani słowa .
286	Świetnie . Porównamy to z danymi z autentykatora i jest pan wolny .
287	Podobno o Korneliuszu usłyszał pan po raz pierwszy w tym biurze .
288	A teraz , co do pańskiego zaprzysiężonego oświadczenia że pańska małpa nie umie mówić .
289	Zeszłej nocy siły bezpieczeństwa pojmały i umieściły w areszcie wiele małp-sług z domostw w całym mieście które zebrały się potajemnie w opuszczonych budynkach na granicach sektora wschodniego .
290	Ostrzegamy właścicieli nieruchomości , że ponoszą całkowitą odpowiedzialność za zachowanie i miejsce pobytu swoich małp-sług .
291	Szczegóły należy pozostawić komendantom ale chcę , aby każda małpa z tej listy została dostarczona do Centrum Przysposabiania do godziny szóstej rano .
292	Lista Achillesa , panie MacDonald , odnosząca się do pięty Achillesa zawiera imiona małp , które w ubiegłym roku były nad wyraz nieposłuszne .
293	Stanowią trzon naszego problemu i zamierzam je zgnieść raz a dobrze .
294	Transport 507 z Indonezji składał się z trzech orangutanów i szympansa .
295	Proszę chwilę zaczekać . Mam na trójce szefa bezpieczeństwa - Inspektora Kolpa .
296	Jak szympans nie powie słowa , sprawa będzie nadal otwarta . Chcemy ją zamknąć .
297	Szkoda , że nie możemy się porozumieć , abyś mógł zrozumieć , że ja ...
298	Nie nauczą się , jak być dobrymi , aż ich do tego nie zmusimy .
299	Ale patrząc na niego , patrzę jak na śmiertelny zarazek który w końcu udało nam się opanować .
300	Proszę zebrać jak najwięcej ludzi i ruszyć za nimi w pościg .
301	Mała grupa małp , która miała przejść intensywne przysposobienie uciekła z Biura Zarządzania Małpami .
302	Do czasu ich pojmania , uprasza się mieszkańców o nie opuszczanie domów .
